Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00001,OU,BS3,StandardStar,0:05:20.1,-5:42:27.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00002,OU,BS15,StandardStar,0:08:23.3,29:05:25.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00003,OU,BS33,StandardStar,0:11:15.9,-15:28:4.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00004,OU,BS39,StandardStar,0:13:14.2,15:11:0.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00005,OU,BS74,StandardStar,0:19:25.7,-8:49:26.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00006,OU,BS88,StandardStar,0:22:51.8,-12:12:34.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00007,OU,BS163,StandardStar,0:38:33.3,29:18:42.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00008,OU,BS489,StandardStar,1:41:25.9,5:29:15.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00009,OU,BS531,StandardStar,1:49:35.1,-10:41:11.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00010,OU,BS544,StandardStar,1:53:4.9,29:34:43.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00011,OU,BS553,StandardStar,1:54:38.4,20:48:28.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00012,OU,BS612,StandardStar,2:04:29.4,-29:17:48.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00013,OU,BS617,StandardStar,2:07:10.4,23:27:44.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00014,OU,BS718,StandardStar,2:28:9.6,8:27:36.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00015,OU,BS740,StandardStar,2:32:5.2,-15:14:40.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00016,OU,BS818,StandardStar,2:45:6.2,-18:34:21.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00017,OU,BS911,StandardStar,3:02:16.8,4:05:23.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00018,OU,BS996,StandardStar,3:19:21.7,3:22:12.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00019,OU,BS1084,StandardStar,3:32:55.8,-9:27:29.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00020,OU,BS1101,StandardStar,3:36:52.4,0:24:6.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00021,OU,BS1140,StandardStar,3:44:48.2,24:17:22.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00022,OU,BS1144,StandardStar,3:45:9.7,24:50:21.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00023,OU,BS1165,StandardStar,3:47:29.1,24:06:18.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00024,OU,BS1231,StandardStar,3:58:1.8,-13:30:30.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00025,OU,BS1302,StandardStar,4:10:50.6,-41:59:36.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00026,OU,BS1318,StandardStar,4:14:23.7,-10:15:22.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00027,OU,BS1380,StandardStar,4:24:5.8,17:26:38.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00028,OU,BS1457,StandardStar,4:35:55.2,16:30:33.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00029,OU,BS1473,StandardStar,4:38:9.5,12:30:39.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00030,OU,BS1543,StandardStar,4:49:50.4,6:57:40.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00031,OU,BS1552,StandardStar,4:51:12.4,5:36:18.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00032,OU,BS6353,StandardStar,17:05:32.3,0:53:31.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00033,OU,BS6378,StandardStar,17:10:22.7,-15:43:29.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00034,OU,BS6410,StandardStar,17:15:1.9,24:50:21.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00035,OU,BS6441,StandardStar,17:20:34.3,-19:20:1.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00036,OU,BS6548,StandardStar,17:34:36.7,9:35:12.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00037,OU,BS6556,StandardStar,17:34:56.1,12:33:36.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00038,OU,BS6601,StandardStar,17:43:47.0,-7:04:46.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00039,OU,BS6603,StandardStar,17:43:28.4,4:34:2.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00040,OU,BS6616,StandardStar,17:47:33.6,-27:49:50.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00041,OU,BS6623,StandardStar,17:46:27.5,27:43:14.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00042,OU,BS6629,StandardStar,17:47:53.6,2:42:26.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00043,OU,BS6698,StandardStar,17:59:1.6,-9:46:25.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00044,OU,BS6746,StandardStar,18:05:48.5,-30:25:26.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00045,OU,BS6748,StandardStar,18:06:23.7,-36:01:11.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00046,OU,BS6771,StandardStar,18:07:21.0,9:33:49.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00047,OU,BS6823,StandardStar,18:15:13.0,-20:23:16.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00048,OU,BS6869,StandardStar,18:21:18.6,-2:53:55.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00049,OU,BS6913,StandardStar,18:27:58.2,-25:25:18.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00050,OU,BS6917,StandardStar,18:25:58.8,29:49:44.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00051,OU,BS7061,StandardStar,18:45:39.7,20:32:46.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00052,OU,BS7120,StandardStar,18:55:7.1,-22:40:16.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00053,OU,BS7167,StandardStar,18:58:46.9,13:54:23.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00054,OU,BS7230,StandardStar,19:05:41.2,-15:39:37.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00055,OU,BS7235,StandardStar,19:05:24.6,13:51:48.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00056,OU,BS7236,StandardStar,19:06:14.9,-4:52:57.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00057,OU,BS7264,StandardStar,19:09:45.8,-21:01:25.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00058,OU,BS7330,StandardStar,19:21:29.7,-34:59:0.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00059,OU,BS7340,StandardStar,19:21:40.4,-17:50:49.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00060,OU,BS7377,StandardStar,19:25:29.9,3:06:53.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00061,OU,BS7429,StandardStar,19:34:5.4,7:22:44.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00062,OU,BS7488,StandardStar,19:41:2.9,17:28:33.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00063,OU,BS7525,StandardStar,19:46:15.6,10:36:47.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00064,OU,BS7557,StandardStar,19:50:47.0,8:52:6.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00065,OU,BS7602,StandardStar,19:55:18.8,6:24:24.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00066,OU,BS7710,StandardStar,20:11:18.3,0:49:17.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00067,OU,BS7773,StandardStar,20:20:39.8,-12:45:32.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00068,OU,BS7776,StandardStar,20:21:0.7,-14:46:53.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00069,OU,BS7779,StandardStar,20:22:27.5,-42:02:58.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00070,OU,BS7906,StandardStar,20:39:38.3,15:54:43.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00071,OU,BS7914,StandardStar,20:40:45.1,19:56:7.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00072,OU,BS7950,StandardStar,20:47:40.6,-9:29:44.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00073,OU,BS8097,StandardStar,21:10:20.5,10:07:53.7,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00074,OU,BS8167,StandardStar,21:22:14.8,-16:50:4.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00075,OU,BS8204,StandardStar,21:26:40.0,-22:24:40.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00076,OU,BS8278,StandardStar,21:40:5.5,-16:39:44.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00077,OU,BS8283,StandardStar,21:41:32.9,-14:02:51.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00078,OU,BS8402,StandardStar,22:03:18.8,-2:09:19.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00079,OU,BS8414,StandardStar,22:05:47.0,0:19:11.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00080,OU,BS8430,StandardStar,22:07:0.7,25:20:42.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00081,OU,BS8431,StandardStar,22:08:23.0,-32:59:18.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00082,OU,BS8477,StandardStar,22:14:38.7,-41:22:54.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00083,OU,BS8499,StandardStar,22:16:50.0,-7:46:59.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00084,OU,BS8551,StandardStar,22:27:51.5,4:41:44.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00085,OU,BS8573,StandardStar,22:30:38.8,-10:40:40.5,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00086,OU,BS8576,StandardStar,22:31:30.3,-32:20:45.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00087,OU,BS8597,StandardStar,22:35:21.4,0:07:3.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00088,OU,BS8634,StandardStar,22:41:27.7,10:49:52.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00089,OU,BS8641,StandardStar,22:41:45.4,29:18:27.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00090,OU,BS8665,StandardStar,22:46:41.6,12:10:22.4,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00091,OU,BS8709,StandardStar,22:54:39.0,-15:49:14.9,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00092,OU,BS8717,StandardStar,22:55:13.7,8:48:58.3,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00093,OU,BS8728,StandardStar,22:57:39.0,-29:37:20.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00094,OU,BS8729,StandardStar,22:57:28.0,20:46:7.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00095,OU,BS8775,StandardStar,23:03:46.5,28:04:58.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00096,OU,BS8781,StandardStar,23:04:45.7,15:12:19.0,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00097,OU,BS8892,StandardStar,23:22:58.2,-20:06:2.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00098,OU,BS8905,StandardStar,23:25:22.8,23:24:14.8,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00099,OU,BS8911,StandardStar,23:26:56.0,1:15:20.2,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00100,OU,BS8984,StandardStar,23:42:2.8,1:46:48.1,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00101,OU,BS9088,StandardStar,0:02:10.3,27:04:54.6,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
